text,spam
"Subject: re : enron default swaps  no hurry about those documents , i have  so much to do already !  thanks and warm regards ,  darrell  on mon , 2 apr 2001 vince . j . kaminski @ enron . com wrote :  >  > darrell ,  >  > thanks . i am beating up on my group to accelerate preparation of  > documentation for  > the audit .  >  > vince  >  >  >  >  >  > j d duffie on 04 / 02 / 2001 03 : 35 : 31 pm  >  > to :  > cc :  > subject : re : enron default swaps  >  >  >  > hi vince !  >  > i got those notes . they should indeed  > be useful . the one from deutsche bank  > is especially helpful !  >  > i am suppose to know this stuff , as i teach it !  >  > sorry about the delayed billing .  > i have had trouble getting a bill  > from my excellent asistant , taichi hoshino ,  > who has returned to goldman tokyo ,  > and has not been able to get anything else  > done lately . i will try to get something out soon !  >  > we had several energy people ,  > from several companies , at our credit risk  > exec ed course last month . seems that  > credit risk and power risk go  > together these days !  >  > warm regards , darrell  >  >  >  >  > on fri , 30 mar 2001 vince . j . kaminski @ enron . com wrote :  >  > >  > > darrell ,  > >  > > i am sending you 2 technical notes on enron default swaps : i hope that  > they  > > will  > > be useful . i shall read the articles on weekend . i am curious if you  > > find these explanations satisfactory .  > >  > > we are very slow in preparing a number of technical documents  > > for you for model reviews . we still hope you will be able  > > to find some time to review our credit models ( for our london  > > credit trading ) and var and option pricing related models .  > >  > > also , please check your invoices . i still think we owe you money .  > >  > >  > > vince  > > ( see attached file : cds vs as . pdf ) ( see attached file : cdsstrat . pdf )  > >  > >  > >  > >  > > darrell duffie on 03 / 28 / 2001 08 : 07 : 38 am  > >  > > to : vince j kaminski  > > cc :  > > subject : re : enron default swaps  > >  > >  > >  > >  > > vince : according to a bank of america  > > publication , your ( enron ) default swap spreads  > > are consistently trading about 80  > > basis points wider than your asset swaps .  > > any idea of what is going on here ?  > >  > > thanks for any guidance , darrell  > >  > >  > > _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _  > > darrell duffie  > > mail gsb stanford ca 94305 - 5015 usa  > > phone 650 723 1976  > > fax 650 725 7979  > > email duffie @ stanford . edu  > > web http : / / www . stanford . edu / ~ duffie /  > > _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _  > >  > >  > >  > >  >  > _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _  > darrell duffie  > mail gsb stanford ca 94305 - 5015 usa  > phone 650 723 1976  > fax 650 725 7979  > email duffie @ stanford . edu  > web http : / / www . stanford . edu / ~ duffie /  > _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _  >  >  >  >  >  >  darrell duffie  mail gsb stanford ca 94305 - 5015 usa  phone 650 723 1976  fax 650 725 7979  email duffie @ stanford . edu  web http : / / www . stanford . edu / ~ duffie / ",0
"Subject: new gas models preliminary schedule for next week  vince ,  here are the topics that our london folks are interested in .  have a good weekend .  zimin  - - - - - - - - - - - - - - - - - - - - - - forwarded by zimin lu / hou / ect on 05 / 26 / 2000 02 : 41 pm  - - - - - - - - - - - - - - - - - - - - - - - - - - -  enron capital & trade resources corp . - europe  from : anjam ahmad 05 / 26 / 2000 08 : 12 am  to : natasha danilochkina / lon / ect @ ect , haakon olafsson / lon / ect @ ect , mark  jones / lon / ect @ ect  cc : zimin lu / hou / ect @ ect , stinson gibner / hou / ect @ ect  subject : new gas models preliminary schedule for next week  dear all ,  please could you confirm your availability for meetings next week as follows : -  wednesday 31 st may  overview of uk gas products to be revalued  a ) wet gas swing deals ( teeside delivery )  b ) liquids extraction options  time : 9 . 30 am to 11 . 30 am ( 1 1 / 2 hrs ) , swl 001  zimin , anjam , natasha  wednesday 31 st may  overview of uk gas products to be revalued  c ) virtual storage ( enbank )  d ) dry gas swing deals  time : 3 pm to 4 . 30 pm ( 1 1 / 2 hrs ) , nel 002  zimin , anjam , natasha  wednesday 31 st may  simulation of uk gas forward curve  time : 5 pm to 6 pm ( 1 hr ) , nel 002  zimin , anjam , natasha , haakon  thursday lst june  model modifications to accomodate uk products  time : 9 . 30 am to 11 . 00 am , nwl 003  zimin , natasha , anjam  friday 2 nd june  it requirements for trading / rm model  a ) booking / mtm  b ) exposures and hedge ratios calculation  time : 9 . 30 am to 11 am , nwl 003  zimin , mark jones , natasha  invitations to follow . . .  thanks ,  anjam  x 35383",0
"Subject: save your money by getting an oem software !  need in software for your pc ? just visit our site , we might have what you need . . .  best regards ,  hien ",1
"Subject: term paper  vince ,  ?  attached is our team ' s term paper in pdf format . ? please let us know if you  still problem opening the file .  thank you very much .  ?  best regards ,  winny so  ?  rice university  jesse h . jones graduate school of management  mba candidate , class of 2001  ?  2018 richland court  sugar land , tx 77478  home : ? ? ( 281 ) 265 - 3522  mobile : ? ( 281 ) 989 - 8417  e - mail : ? so @ rice . edu >  http : / / www . ruf . rice . edu / ~ so /  ?  - modeling project . pdf",0
"Subject: re : interview schedule change for bruce james  sean ,  i think we should invite bruce for additional interviews . i think that he  does not have  the skills required in my unit , but he could contribute in other areas .  here is the list of potential interviewees :  john echols  ted murphy  mark ruane  vince  sean grady @ enron  07 / 26 / 2000 02 : 17 pm  to : grant masson / hou / ect @ ect , pinnamaneni krishnarao / hou / ect @ ect , william s  bradford / hou / ect @ ect , vince j kaminski / hou / ect @ ect , stinson  gibner / hou / ect @ ect , zimin lu / hou / ect @ ect , bjorn hagelmann / hou / ect @ ect , david  port / market risk / corp / enron @ enron  cc : toni graham / corp / enron @ enron , shirley crenshaw / hou / ect @ ect , rita  hennessy / na / enron @ enron , dorothy youngblood / hou / ect @ ect  subject : interview schedule change for bruce james  attached please find the interview packet for the above - referenced person .  the interview will happen thursday july 27 , 2000 . please print all three  documents for your hard copies . if you have any questions , or conflicts of  schedule , please do not hesitate to contact me .  sean grady  58701",0
"Subject: re : possible rtp conference  dear professor huntington ,  thursday 10 a . m . works for me .  please , let me know where i can meet you .  i am attaching my itinerary , so that you can contact me  if necessary  .  my cell phone number is 713 410 5396 .  vince kaminski",0
"Subject: energy leader consulting generation evaluator ( ege )  shirley :  as requested , herein is information regarding the meeting with vince kaminski .  the presentation on the ege tool ' s applications and the allegheny energy case study is timed to take an hour . if the meeting is most conveniently scheduled for tuesday , may 29 , might i request it be set for late afternoon ( as my other appointments are the next day ) .  and , as vince will recall , i was co - leader of the energy consulting business of phb hagler bailly , and developer of the ramp up , real time , 75 check and electric strategy tools . presently , i am ceo of energy leader consulting ( elc ) .  background  the u . s . power generation industry has become increasingly efficient in recent years . rapidly growing new entrants seek profit maximization aggressively . utilities , who still control most power plants , endeavor to adopt the entrants ' methods . yet , inefficiency among many utilities remains widespread .  utility inefficiency arises from adherence to decades - old habits and in unit commitment and dispatch and planned maintenance scheduling . many utilities , notwithstanding the industry - wide trend towards profit maximization , cling to ingrained routines .  inefficiency can also arise from the diseconomies of small scale . a utility may operate a relatively small system ( fewer than a dozen plants ) . a small system lacks portfolio diversification and perspective in its focus on its regulated customers , playing the wholesale market at the margin .  for a variety of reasons , utilities are reluctant to cut back the starts of their generating units , let alone shut down any ( even temporarily or seasonally ) . economically inefficient units continue to be committed , week after week , and run in the half - load range .  ege objectives  ege identifies and assesses generating units of a utility with questionable commitment routines . taking into account transmission and reliability factors , the procedure points towards profit opportunities that may be exploited by another industry participant .  i . an industry participant can use ege as a basis for a medium or long - term wholesale power transaction with a utility ; or to price wholesale power more aggressively , to take market share from the utility ( i . e . , compel changes in unit commitment habits ) .  ii . an industry participant can use ege to spot and quantify efficiencies that would come from a merger or acquisition .  iii . a power plant developer can use ege to estimate the incremental value a new plant will enjoy when the target utility ' s unit commitment routines inevitably become rationalized .  specific ege concepts  ege reduces and analyses the extraordinary but unwieldy continuous emission monitoring data base intelligently focusing on profit opportunities .  it produces indicative statistics such as :  a . the frequency distribution of starts per week ;  b . the frequency distribution of starts by day / 15 - minute segment during the week ;  c . the frequency distribution of load level ;  d . the frequency distribution of hours of operation per start ;  e . average heat rate and approximate fully - allocated cost in the half - load range ;  f . average ramp rate from the half - load range ;  g . the frequency distribution of unused connected capacity during the highest demand hours ; and  h . forced - off maintenance outage rate ( where indicated ) .  indicative statistics are generally aggregated by month / year ; in some cases , by temperature range . ( they can be by regional wholesale prices as well . ) ege establishes if the target utility has changed unit commitment routines significantly in recent years .  ege is based upon uniquely timely actual hourly operating data . ege is now updated for the 4 th quarter 2000 ( through december 31 , 2000 ) . ege lst quarter 2000 ( through march 31 , 2001 ) will be available approximately june 15 , 2001 .  ege also compares and ranks generating units ' commitment and dispatch with that of similar units operated by the target utility ( as well as other regional generators ) . some utilities operate a group of economically marginal units at the half - load level for lengthy time periods ( without an apparent reliability basis ) , splitting the limited economic demand for power among the units .  other ege supporting data :  i . planned maintenance schedule ( where indicated ) ;  j . actual maximum generating capacity ;  k . actual minimum generating capacity ( actual maximums and minimums can differ significantly from government - reported values ) ;  l . average heat rate in the full - load range ; and  m . average heat rate in the three - quarter - load range .  with respect to a generating units ' average heat rate in the half - load , three - quarter - load and full - load ranges , it can be instructive to rank these relative to similar generating units within a region . it can also be of interest to identify significant seasonal variations in average heat rates and maximum capacities , and changes in recent years in these parameters .  the real - world example of allegheny energy  allegheny energy can serve as a case study to illustrate the application of ege . in the 4 th quarter 2000 , for instance , one high - cost generating unit was started virtually every weekday morning ( 52 times ) and committed for the whole day ( in all but two cases ) . arguably , there are power products that could substitute for this routine ( in part at least ) at a profit to the seller of the product and allegheny energy .  another high - cost allegheny energy generating unit was started virtually every weekend during the autumn ( nine times ) and committed for most of the coming week . at another plant , two high - cost units were operated too often in the expensive half - load range ( some 550 hours ) and three - quarter - load range ( another 400 to 600 hours ) ; they were seldom called upon to run at higher levels . again , there are power products that that address these practices and might appeal to allegheny energy .  offering of energy leader consulting ( elc )  ege is a procedure , not a software package or data base . elc believes this format is more effective in arming clients with the information they need to act upon profit opportunities .  elc transfers its "" knowledge "" about the ege procedure and the supporting data methods in a straight - forward four - step process :  1 . enron would select one to three target utilities .  2 . elc would perform the ege procedure on the target utilities .  3 . employing this real - world analysis as a pedagogic tool , elc , in a one - day seminar with enron personnel , would instruct how to perform the procedure in the future ( without the assistance of elc ) .  4 . optionally , elc would provide ege supporting data , quarterly , to enron .  the basic ege supporting data set is national including all generating units under the continuous emission monitoring program ( virtually all fossil fuel units ) . parameters that are incorporated , and the data set format , will be specified upon request . custom modifications will be considered .  steven a . mitnick  chief executive officer  energy leader consulting  4807 41 st street , nw  washington , dc 20016  ( 202 ) 997 - 0924 voice  ( 202 ) 537 - 0906 fax  smitnick @ energyleader . com",0
Subject: re : congratulations  thanks vince . it was good to learn of your promotion as well .  cheers .,0
"Subject: re : presentation  david ,  i am leaving for vacation this weekend and i haven ' t received the copy of  your presentation yet .  the window during which i could make changes to my presentation is closing  very fast . let ' s  do the following : i shall keep my presentation as is ( this means that i shall  use the copy of my  presentation i sent to dawn scovill and you this week ) . if there is an  overlap between our presentations , so be it .  dawn , please use the copy of my presentation i sent you earlier this week .  vince  - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 03 / 17 / 2000  04 : 33 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -  vince j kaminski  03 / 16 / 2000 08 : 02 am  to : "" dawn scovill "" @ enron  cc : sobotkad @ kochind . com , vince j kaminski / hou / ect @ ect  subject : re : presentation  dawn ,  i met david sobotka from koch this morning and we talked about coordinating  our presentations .  this means there will be changes intended to avoid overlaps . sorry for that .  the portions of my presentation  will survive ( those about valuation paradigms ) and i shall add a few more  pages on accounting treatment of weather derivatives  plus more specific examples . david will cover primarily market evolution +  plus examples of some  standard structures , and we shall both give more interesting examples of  specific deals executed by our companies .  i shall send you an updated version of my part next week . let me know what  the deadline is .  vince  "" dawn scovill "" on 03 / 14 / 2000 07 : 53 : 47 am  to : "" vince j kaminski ""  cc :  subject : re : presentation  thanks - - would you like me to include these in the conference book ? or do  you anticipate changes ?  dawn  from : dawn scovill , conference coordinator  "" powerful new ideas 2000 ""  dawn @ perfectmeeting . com  - - - - - original message - - - - -  from : vince j kaminski  to :  cc : shirley crenshaw ; vince j kaminski  ; vince j kaminski  sent : monday , march 13 , 2000 1 : 56 pm  subject : presentation  >  >  > dawn ,  >  > i am sending you an electronic version of my presentation .  >  > vince kaminski  >  > ( see attached file : fplo 400 . ppt )  >",0
"Subject: re : forecast rates !  hi vince ,  thank you for sending me the email from don reid regarding the turkey fx and  cpi curve . i received the same email last week and the request has been  taken care of . in fact , he had a very short time line for the request and  had subsequently used outside forecasts for the bid . if the deal goes  through rac , i ' m sure we ' ll get another request for the curve , but for now ,  don said that he doesn ' t need a forecast from us .  regards ,  farouk z . lalji",0
